1;'ADMINISTRADOR'
2;'ADVOGADO'
3;'AGENTE ADMINISTRATIVO'
4;'AGENTE E REPRESENTANTE COMERCIAL'
5;'AGRÔNOMO E AFINS'
6;'ANALISTA DE SEGUROS E DE SEGURANÇA NO TRABALHO'
7;'ANALISTA DE SISTEMAS'
8;'ESPECIALISTA EM INFORMÁTICA'
9;'APRESENTADOR'
10;'ATLETA, DESPORTISTA'
11;'ATOR'
12;'BANCÁRIO'
13;'BIBLIOTECÁRIO'
14;'BIÓLOGO'
15;'BOLSISTA'
16;'BOMBEIRO MILITAR'
17;'CANTOR E COMPOSITOR'
18;'CENÓGRAFO'
19;'CINEGRAFISTA'
20;'COMISSÁRIO DE BORDO'
21;'DECORADOR'
22;'DELEGADO DE POLÍCIA'
23;'DESENHISTA INDUSTRIAL (DESIGNER)'
24;'DESENHISTA TÉCNICO E MODELISTA'
25;'DIPLOMATA E AFINS'
26;'DIRETOR DE ORGANISMO NÃO-GOVERNAMENTAL'
27;'DIRETOR DE ESTABELECIMENTO DE ENSINO OU DE OUTRAS ORGANIZAÇÕES'
28;'DIRIGENTE DA ADMINISTRAÇÃO PÚBLICA'
29;'ECONOMISTA'
30;'EMPRESÁRIO E PRODUTOR DE ESPETÁCULOS'
31;'ENFERMEIRO DE NÍVEL SUPERIOR'
32;'ENGENHEIRO'
33;'FÍSICO'
34;'FONOAUDIÓLOGO'
35;'GEÓGRAFO'
36;'GERENTE DE PRODUÇÃO'
37;'GERENTE OU SUPERVISOR'
38;'INSPETOR DE POLÍCIA'
39;'INSTRUTOR E PROFESSOR DE ESCOLAS LIVRES'
40;'JOALHEIRO'
41;'JORNALISTA'
42;'JUIZ'
43;'LOCUTOR, COMENTARISTA'
44;'MATEMÁTICO'
45;'MÉDICO, ODONTÓLOGO E AFINS'
46;'MILITAR DA AERONÁUTICA'
47;'MILITAR DA MARINHA'
48;'MILITAR DA RESERVA'
49;'MILITAR DO EXÉRCITO'
50;'MILITAR REFORMADO'
51;'MINISTRO DE TRIBUNAL'
52;'MOTORISTA'
53;'MÚSICO'
54;'OCUPANTE DE CARGO DE DIREÇÃO'
55;'OUTROS PROFISSIONAIS DO ESPETÁCULO E DAS ARTES'
56;'PEDAGOGO'
57;'PENSIONISTA'
58;'PESCADOR'
59;'PILOTO DE AERONAVES'
60;'POLICIAL'
61;'PRESIDENTE DA REPÚBLICA'
62;'PRODUTOR NA EXPLORAÇÃO AGROPECUÁRIA'
63;'PROFESSOR DO ENSINO FUNDAMENTAL'
64;'PROFESSOR DO ENSINO MÉDIO'
65;'PROFESSOR DO ENSINO SUPERIOR'
66;'PROFISSIONAL DA EDUCAÇÃO FÍSICA (EXCETO PROFESSOR)'
